Order_ID,Order_Date,Customer_ID,City,Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Payment_Method,Sales_Channel,Customer_Rating,Marketing_Campaign,Customer_Type,discount_percentage,cost_validation,Month,Month_number
100021,28/03/2025,C1638,Bengaluru,Grocery,Rice,3,1586.00,4282.20,3460.49,821.71,Credit Card,Online,3.00,Festival Offer,New,0.10,TRUE,March,3
100022,01/04/2024,C1723,Pune,Fashion,T-Shirt,4,861.00,3444.00,1561.00,1883.00,Debit Card,Store,3.00,Festival Offer,New,0.00,TRUE,April,4
100023,09/08/2024,C1605,Mumbai,Sports,Bat,1,3572.00,2857.60,2393.76,463.84,Debit Card,Online,3.00,Festival Offer,New,0.20,TRUE,August,8
100024,13/01/2024,C1709,Pune,Home,Chair,4,4257.00,16176.60,8299.30,7877.30,Credit Card,Online,3.00,Festival Offer,New,0.05,TRUE,January,1
100025,20/02/2025,C1372,Pune,Electronics,Laptop,3,2641.00,7923.00,6776.21,1146.79,UPI,Store,3.00,Festival Offer,New,0.00,TRUE,February,2
100026,30/08/2024,C1453,Mumbai,Unavailable,Snacks,3,3172.00,7137.00,4804.86,2332.14,Cash,Store,3.00,Festival Offer,Returning,0.25,TRUE,August,8
100027,27/09/2024,C1529,Chennai,Beauty,Perfume,4,2517.00,9061.20,7307.55,1753.65,Credit Card,Store,3.00,Festival Offer,Returning,0.10,TRUE,September,9
100028,02/08/2024,C1570,Hyderabad,Sports,Yoga Mat,1,3607.00,3065.95,2116.02,949.93,Debit Card,Store,3.00,Festival Offer,New,0.15,TRUE,August,8
100029,01/06/2025,C1175,Hyderabad,Home,Cookware,1,2209.00,1877.65,1333.34,544.31,Cash,Store,3.00,Festival Offer,Returning,0.15,TRUE,June,6
100030,26/05/2024,C1145,Vizag,Grocery,Milk,3,2608.00,6650.40,3619.30,3031.10,UPI,Store,3.00,Festival Offer,Returning,0.15,TRUE,May,5
100031,18/06/2024,C1724,Hyderabad,Sports,Football,4,2472.00,7416.00,4843.52,2572.48,Debit Card,Online,3.00,Festival Offer,New,0.25,TRUE,June,6
100032,17/04/2025,C1348,Vizag,Home,Table,5,4727.00,20089.75,18320.19,1769.56,Credit Card,Store,3.00,Festival Offer,Returning,0.15,TRUE,April,4
100033,21/07/2024,C1250,Mumbai,Fashion,T-Shirt,4,4026.00,14493.60,8436.43,6057.17,Credit Card,Store,3.00,Festival Offer,Returning,0.10,TRUE,July,7
100034,15/10/2025,C1329,Hyderabad,Sports,Yoga Mat,5,3584.00,13440.00,9579.51,3860.49,UPI,Store,3.00,Festival Offer,Returning,0.25,TRUE,October,10
100035,15/01/2024,C1631,Bengaluru,Home,Cookware,5,4561.00,17103.75,11541.87,5561.88,UPI,Store,3.00,Festival Offer,New,0.25,TRUE,January,1
100036,06/06/2024,C1420,Hyderabad,Home,Cookware,2,894.00,1430.40,1218.42,211.98,UPI,Online,3.00,Festival Offer,Returning,0.20,TRUE,June,6
100037,05/04/2025,C1269,Pune,Sports,Shoes,3,883.00,1986.75,1684.60,302.15,UPI,Online,3.00,Festival Offer,New,0.25,TRUE,April,4
100038,13/05/2025,C1640,Hyderabad,Fashion,Jacket,1,4222.00,4222.00,2685.97,1536.03,Cash,Store,3.00,Festival Offer,New,0.00,TRUE,May,5
100039,05/06/2024,C1221,Vizag,Sports,Football,5,388.00,1552.00,1319.75,232.25,Credit Card,Online,3.00,Festival Offer,New,0.20,TRUE,June,6
100040,22/10/2025,C1543,Chennai,Electronics,Headphones,5,3557.00,16006.50,12836.27,3170.23,UPI,Online,3.00,Festival Offer,Returning,0.10,TRUE,October,10
100041,07/11/2024,C1076,Chennai,Sports,Football,1,2327.00,2327.00,1163.18,1163.82,Wallet,Store,3.00,Festival Offer,Returning,0.00,TRUE,November,11
100042,11/07/2024,C1499,Hyderabad,Electronics,Phone,1,1970.00,1674.50,1612.11,62.39,Wallet,Store,3.00,Festival Offer,New,0.15,TRUE,July,7
100043,02/09/2025,C1294,Pune,Unavailable,Jeans,2,3047.00,4570.50,3532.06,1038.44,Credit Card,Store,3.00,Festival Offer,New,0.25,TRUE,September,9
100044,21/10/2024,C1280,Mumbai,Sports,Shoes,1,3045.00,2740.50,1597.15,1143.35,Credit Card,Store,3.00,Festival Offer,Returning,0.10,TRUE,October,10
100045,04/07/2025,C1582,Bengaluru,Grocery,Snacks,2,500.00,800.00,623.56,176.44,Cash,Store,3.00,Festival Offer,Returning,0.20,TRUE,July,7
100046,01/01/2024,C1674,Bengaluru,Grocery,Oil,3,3957.00,10090.35,6225.20,3865.15,Credit Card,Store,3.00,Festival Offer,New,0.15,TRUE,January,1
100047,22/09/2025,C1526,Delhi,Home,Chair,2,4876.00,8776.80,8754.50,22.30,Credit Card,Online,3.00,Festival Offer,Returning,0.10,TRUE,September,9
100048,19/06/2024,C1639,Chennai,Grocery,Snacks,4,442.00,1679.60,1292.74,386.86,Cash,Online,3.00,Festival Offer,Returning,0.05,TRUE,June,6
100049,30/05/2025,C1082,Delhi,Fashion,T-Shirt,5,2036.00,9671.00,7374.06,2296.94,Cash,Online,3.00,Festival Offer,Returning,0.05,TRUE,May,5
100050,18/08/2025,C1488,Mumbai,Sports,Shoes,1,1901.00,1805.95,1064.13,741.82,UPI,Store,3.00,Festival Offer,Returning,0.05,TRUE,August,8
100051,18/03/2025,C1689,Chennai,Sports,Yoga Mat,4,1536.00,5836.80,2946.06,2890.74,Cash,Store,3.00,Festival Offer,New,0.05,TRUE,March,3
100052,12/04/2024,C1363,Chennai,Home,Chair,1,3313.00,2816.05,2087.65,728.40,UPI,Store,3.00,Festival Offer,New,0.15,TRUE,April,4
100053,21/08/2024,C1324,Vizag,Home,Chair,3,3081.00,7394.40,6398.06,996.34,UPI,Store,3.00,Festival Offer,Returning,0.20,TRUE,August,8
100054,21/01/2024,C1503,Pune,Electronics,Headphones,4,4991.00,15971.20,10617.36,5353.84,Debit Card,Online,3.00,Festival Offer,New,0.20,TRUE,January,1
100055,25/01/2025,C1647,Bengaluru,Beauty,Cream,4,400.00,1520.00,1287.55,232.45,UPI,Store,3.00,Festival Offer,New,0.05,TRUE,January,1
100056,27/05/2024,C1303,Hyderabad,Fashion,Jacket,4,289.00,1040.40,655.97,384.43,Cash,Online,3.00,Festival Offer,Returning,0.10,TRUE,May,5
100057,14/01/2024,C1590,Hyderabad,Electronics,Laptop,4,3742.00,12722.80,9513.52,3209.28,Debit Card,Store,3.00,Festival Offer,Returning,0.15,TRUE,January,1
100058,10/03/2025,C1685,Pune,Fashion,Shoes,5,3571.00,16069.50,10155.20,5914.30,Wallet,Online,3.00,Festival Offer,Returning,0.10,TRUE,March,3
100059,02/07/2024,C1546,Hyderabad,Sports,Football,1,1031.00,927.90,843.13,84.77,Wallet,Store,3.00,Festival Offer,New,0.10,TRUE,July,7
100060,12/04/2024,C1371,Hyderabad,Fashion,T-Shirt,2,4500.00,7200.00,6478.16,721.84,Debit Card,Store,3.00,Festival Offer,New,0.20,TRUE,April,4
100061,16/09/2024,C1707,Bengaluru,Beauty,Cream,1,1138.00,967.30,814.62,152.68,Wallet,Online,3.00,Festival Offer,New,0.15,TRUE,September,9
100062,14/11/2025,C1281,Bengaluru,Home,Table,1,998.00,748.50,705.85,42.65,Credit Card,Online,3.00,Festival Offer,New,0.25,TRUE,November,11
100063,25/06/2025,C1127,Delhi,Electronics,Headphones,1,1202.00,1021.70,677.65,344.05,UPI,Store,3.00,Festival Offer,Returning,0.15,TRUE,June,6
100064,14/09/2024,C1084,Mumbai,Beauty,Cream,2,1052.00,1893.60,1856.46,37.14,Cash,Store,3.00,Festival Offer,Returning,0.10,TRUE,September,9
100065,09/08/2024,C1015,Delhi,Sports,Yoga Mat,3,3533.00,7949.25,5116.79,2832.46,Cash,Online,3.00,Festival Offer,Returning,0.25,TRUE,August,8
100066,02/06/2024,C1638,Delhi,Beauty,Cream,4,4559.00,15500.60,11361.27,4139.33,Wallet,Store,3.00,Festival Offer,Returning,0.15,TRUE,June,6
100067,11/09/2025,C1750,Vizag,Sports,Football,5,4490.00,19082.50,15774.91,3307.59,Cash,Online,3.00,Festival Offer,New,0.15,TRUE,September,9
100068,14/05/2024,C1658,Vizag,Beauty,Face Wash,5,2101.00,10505.00,9258.14,1246.86,UPI,Store,3.00,Festival Offer,New,0.00,TRUE,May,5
100069,12/03/2024,C1538,Bengaluru,Fashion,Shoes,5,1573.00,7078.50,4558.25,2520.25,Credit Card,Online,3.00,Festival Offer,New,0.10,TRUE,March,3
100070,29/06/2025,C1169,Vizag,Home,Table,2,4728.00,8037.60,5723.27,2314.33,Wallet,Online,3.00,Festival Offer,New,0.15,TRUE,June,6
100071,10/08/2024,C1578,Pune,Fashion,T-Shirt,4,1961.00,7451.80,5093.14,2358.66,Credit Card,Online,3.00,Festival Offer,New,0.05,TRUE,August,8
100072,23/07/2025,C1315,Chennai,Grocery,Milk,2,4931.00,7889.60,5339.62,2549.98,Cash,Store,3.00,Festival Offer,New,0.20,TRUE,July,7
100073,08/12/2024,C1618,Delhi,Home,Lamp,3,643.00,1929.00,1212.22,716.78,UPI,Online,3.00,Festival Offer,New,0.00,TRUE,December,12
100074,16/05/2024,C1490,Hyderabad,Beauty,Shampoo,3,2776.00,7078.80,5916.62,1162.18,Cash,Online,3.00,Festival Offer,New,0.15,TRUE,May,5
100075,09/06/2024,C1580,Bengaluru,Fashion,T-Shirt,5,4295.00,21475.00,13450.95,8024.05,Wallet,Online,3.00,Festival Offer,New,0.00,TRUE,June,6
100076,28/12/2025,C1588,Hyderabad,Electronics,Phone,2,3207.00,5451.90,5283.39,168.51,UPI,Online,3.00,Festival Offer,Returning,0.15,TRUE,December,12
100077,12/05/2024,C1474,Delhi,Grocery,Rice,4,1018.00,3461.20,3122.75,338.45,Debit Card,Store,3.00,Festival Offer,New,0.15,TRUE,May,5
100078,16/07/2025,C1457,Hyderabad,Home,Lamp,2,1363.00,2726.00,1324.10,1401.90,Wallet,Store,3.00,Festival Offer,Returning,0.00,TRUE,July,7
100079,29/11/2025,C1182,Pune,Grocery,Rice,1,407.00,386.65,271.77,114.88,Debit Card,Online,3.00,Festival Offer,New,0.05,TRUE,November,11
100080,14/09/2025,C1299,Chennai,Fashion,Jeans,5,338.00,1267.50,841.21,426.29,Debit Card,Online,3.00,Festival Offer,Returning,0.25,TRUE,September,9
100081,18/05/2025,C1282,Hyderabad,Beauty,Shampoo,5,654.00,2943.00,2055.42,887.58,UPI,Store,3.00,Festival Offer,Returning,0.10,TRUE,May,5
100082,29/01/2025,C1178,Mumbai,Electronics,Headphones,2,311.00,466.50,299.98,166.52,Wallet,Store,3.00,Festival Offer,Returning,0.25,TRUE,January,1
100083,14/01/2025,C1607,Mumbai,Fashion,Jacket,2,2830.00,5377.00,2673.19,2703.81,Credit Card,Store,3.00,Festival Offer,New,0.05,TRUE,January,1
100084,15/03/2024,C1228,Delhi,Fashion,Shoes,3,3448.00,8792.40,5684.85,3107.55,UPI,Online,3.00,Festival Offer,Returning,0.15,TRUE,March,3
100085,28/02/2025,C1238,Chennai,Home,Cookware,2,1510.00,2416.00,2366.13,49.87,Cash,Store,3.00,Festival Offer,Returning,0.20,TRUE,February,2
100086,24/02/2025,C1223,Hyderabad,Fashion,Shoes,1,784.00,705.60,678.81,26.79,Debit Card,Store,3.00,Festival Offer,Returning,0.10,TRUE,February,2
100087,19/04/2024,C1228,Pune,Sports,Football,5,2982.00,14910.00,8014.71,6895.29,UPI,Online,3.00,Festival Offer,New,0.00,TRUE,April,4
100088,12/05/2024,C1222,Chennai,Grocery,Snacks,3,1172.00,2812.80,2271.00,541.80,UPI,Online,3.00,Festival Offer,New,0.20,TRUE,May,5
100089,28/07/2024,C1315,Delhi,Fashion,Shoes,5,971.00,4612.25,2891.89,1720.36,Wallet,Online,3.00,Festival Offer,Returning,0.05,TRUE,July,7
100090,19/05/2024,C1593,Vizag,Beauty,Cream,1,3840.00,2880.00,2242.70,637.30,Cash,Store,3.00,Festival Offer,Returning,0.25,TRUE,May,5
100091,18/12/2024,C1625,Delhi,Grocery,Rice,4,1361.00,5171.80,2736.01,2435.79,Cash,Online,3.00,Festival Offer,New,0.05,TRUE,December,12
100092,14/12/2024,C1491,Bengaluru,Beauty,Shampoo,1,595.00,476.00,427.22,48.78,Wallet,Online,3.00,Festival Offer,New,0.20,TRUE,December,12
100093,11/10/2024,C1628,Delhi,Sports,Bat,2,4342.00,6947.20,6891.53,55.67,Debit Card,Store,3.00,Festival Offer,Returning,0.20,TRUE,October,10
100094,30/09/2024,C1659,Pune,Unavailable,Table,1,982.00,982.00,685.18,296.82,Credit Card,Online,3.00,Festival Offer,New,0.00,TRUE,September,9
100095,26/01/2024,C1109,Delhi,Fashion,Jacket,4,1992.00,5976.00,4660.73,1315.27,Credit Card,Online,3.00,Festival Offer,Returning,0.25,TRUE,January,1
100096,02/08/2025,C1494,Chennai,Electronics,Laptop,4,1091.00,3491.20,2559.44,931.76,Credit Card,Online,3.00,Festival Offer,Returning,0.20,TRUE,August,8
100097,28/08/2025,C1472,Pune,Grocery,Oil,1,4438.00,3772.30,2965.92,806.38,Cash,Online,3.00,Festival Offer,New,0.15,TRUE,August,8
100098,09/03/2025,C1092,Mumbai,Sports,Shoes,2,3993.00,7586.70,4312.03,3274.67,Credit Card,Online,3.00,Festival Offer,New,0.05,TRUE,March,3
100099,04/04/2025,C1583,Vizag,Home,Lamp,2,4304.00,7316.80,6091.62,1225.18,Credit Card,Store,3.00,Festival Offer,Returning,0.15,TRUE,April,4
100100,27/10/2024,C1248,Mumbai,Fashion,Jacket,4,206.00,782.80,711.30,71.50,Debit Card,Online,3.00,Festival Offer,Returning,0.05,TRUE,October,10
100101,16/03/2024,C1132,Chennai,Home,Cookware,5,4533.00,19265.25,13092.82,6172.43,Wallet,Store,3.00,Festival Offer,New,0.15,TRUE,March,3
100102,09/03/2024,C1312,Pune,Grocery,Rice,4,3467.00,13174.60,11483.18,1691.42,Credit Card,Online,3.00,Festival Offer,Returning,0.05,TRUE,March,3
100103,16/05/2025,C1507,Bengaluru,Beauty,Perfume,4,994.00,3976.00,1881.93,2094.07,UPI,Store,3.00,Festival Offer,Returning,0.00,TRUE,May,5
100104,07/03/2024,C1328,Mumbai,Home,Table,4,4412.00,17648.00,10742.94,6905.06,Wallet,Store,3.00,Festival Offer,Returning,0.00,TRUE,March,3
100105,19/03/2024,C1318,Hyderabad,Grocery,Milk,5,4602.00,21859.50,11438.31,10421.19,Cash,Online,3.00,Festival Offer,New,0.05,TRUE,March,3
100106,08/06/2025,C1440,Mumbai,Sports,Yoga Mat,4,240.00,912.00,545.92,366.08,Credit Card,Online,3.00,Festival Offer,Returning,0.05,TRUE,June,6
100107,17/08/2025,C1715,Pune,Home,Cookware,3,2111.00,5699.70,3443.70,2256.00,Cash,Online,3.00,Festival Offer,New,0.10,TRUE,August,8
100108,10/01/2024,C1544,Chennai,Grocery,Snacks,4,1677.00,6037.20,5441.65,595.55,Credit Card,Online,3.00,Festival Offer,Returning,0.10,TRUE,January,1
100109,14/03/2025,C1402,Chennai,Electronics,Headphones,1,3377.00,3039.30,1768.37,1270.93,Cash,Online,3.00,Festival Offer,Returning,0.10,TRUE,March,3
100110,20/04/2024,C1290,Delhi,Grocery,Oil,3,4230.00,12690.00,9137.50,3552.50,Wallet,Online,3.00,Festival Offer,Returning,0.00,TRUE,April,4
100111,21/01/2025,C1017,Chennai,Electronics,Tablet,1,907.00,816.30,680.20,136.10,UPI,Store,3.00,Festival Offer,Returning,0.10,TRUE,January,1
100112,21/12/2024,C1735,Bengaluru,Grocery,Milk,4,2300.00,7820.00,7645.77,174.23,UPI,Online,3.00,Festival Offer,New,0.15,TRUE,December,12
100113,30/05/2025,C1297,Bengaluru,Sports,Yoga Mat,4,1861.00,5955.20,4850.06,1105.14,Wallet,Online,3.00,Festival Offer,Returning,0.20,TRUE,May,5
100114,24/01/2025,C1555,Mumbai,Home,Lamp,4,4263.00,15346.80,8054.77,7292.03,Debit Card,Store,3.00,Festival Offer,Returning,0.10,TRUE,January,1
100115,23/11/2025,C1135,Pune,Fashion,Shoes,5,3076.00,15380.00,9373.44,6006.56,UPI,Store,3.00,Festival Offer,New,0.00,TRUE,November,11
100116,09/03/2025,C1736,Pune,Electronics,Phone,1,2800.00,2380.00,1731.94,648.06,Credit Card,Store,3.00,Festival Offer,Returning,0.15,TRUE,March,3
100117,21/06/2025,C1489,Pune,Grocery,Snacks,2,3958.00,7916.00,4258.96,3657.04,UPI,Online,3.00,Festival Offer,Returning,0.00,TRUE,June,6
100118,09/09/2025,C1656,Bengaluru,Electronics,Laptop,3,4634.00,13206.90,9298.90,3908.00,Credit Card,Online,3.00,Festival Offer,New,0.05,TRUE,September,9
100119,13/08/2025,C1488,Chennai,Grocery,Snacks,5,4465.00,16743.75,12578.35,4165.40,Cash,Online,3.00,Festival Offer,New,0.25,TRUE,August,8
100120,27/10/2024,C1011,Pune,Home,Table,1,4122.00,3091.50,2274.78,816.72,Debit Card,Online,3.00,Festival Offer,Returning,0.25,TRUE,October,10
100121,13/08/2025,C1234,Mumbai,Grocery,Rice,3,3550.00,9052.50,8899.06,153.44,UPI,Online,3.00,Festival Offer,Returning,0.15,TRUE,August,8
100122,22/05/2025,C1271,Vizag,Beauty,Shampoo,5,4740.00,18960.00,15873.63,3086.37,Debit Card,Store,3.00,Festival Offer,Returning,0.20,TRUE,May,5
100123,06/11/2024,C1679,Vizag,Beauty,Shampoo,1,3536.00,3182.40,2568.06,614.34,Cash,Store,3.00,Festival Offer,Returning,0.10,TRUE,November,11
100124,03/03/2025,C1515,Bengaluru,Fashion,Shoes,2,1211.00,2058.70,1673.59,385.11,UPI,Store,3.00,Festival Offer,Returning,0.15,TRUE,March,3
100125,22/08/2025,C1157,Mumbai,Grocery,Milk,3,3614.00,10842.00,6562.37,4279.63,Cash,Store,3.00,Festival Offer,Returning,0.00,TRUE,August,8
100126,26/12/2024,C1374,Mumbai,Fashion,T-Shirt,3,4595.00,11717.25,7031.33,4685.92,Debit Card,Store,3.00,Festival Offer,Returning,0.15,TRUE,December,12
100127,07/07/2025,C1082,Bengaluru,Electronics,Headphones,2,2425.00,4365.00,2880.27,1484.73,Cash,Online,3.00,Summer Sale,Returning,0.10,TRUE,July,7
100128,07/03/2025,C1258,Vizag,Home,Lamp,3,3305.00,8923.50,7817.03,1106.47,UPI,Online,3.00,Summer Sale,New,0.10,TRUE,March,3
100129,15/11/2024,C1589,Pune,Sports,Football,2,2748.00,5496.00,3904.40,1591.60,Cash,Store,3.00,Summer Sale,New,0.00,TRUE,November,11
100130,29/10/2025,C1452,Chennai,Beauty,Perfume,5,529.00,2512.75,1750.26,762.49,Wallet,Store,3.00,Summer Sale,Returning,0.05,TRUE,October,10
100131,23/08/2024,C1621,Vizag,Sports,Football,5,4269.00,19210.50,17056.44,2154.06,Credit Card,Store,3.00,Summer Sale,New,0.10,TRUE,August,8
100132,29/07/2025,C1575,Chennai,Home,Chair,3,1265.00,3036.00,1810.18,1225.82,Cash,Store,3.00,Summer Sale,Returning,0.20,TRUE,July,7
100133,15/09/2025,C1540,Mumbai,Electronics,Laptop,3,1966.00,5603.10,4110.68,1492.42,Debit Card,Online,3.00,Summer Sale,New,0.05,TRUE,September,9
100134,18/05/2024,C1064,Pune,Beauty,Face Wash,4,4120.00,12360.00,8767.77,3592.23,Cash,Online,3.00,Summer Sale,New,0.25,TRUE,May,5
100135,16/02/2025,C1374,Hyderabad,Electronics,Tablet,2,2366.00,3549.00,2908.29,640.71,Wallet,Online,3.00,Summer Sale,Returning,0.25,TRUE,February,2
100136,27/06/2025,C1231,Pune,Fashion,T-Shirt,5,2160.00,10260.00,5106.72,5153.28,UPI,Store,3.00,Summer Sale,New,0.05,TRUE,June,6
100137,02/03/2024,C1632,Pune,Beauty,Face Wash,1,1991.00,1592.80,1304.51,288.29,Wallet,Store,3.00,Summer Sale,New,0.20,TRUE,March,3
100138,26/11/2024,C1290,Chennai,Electronics,Tablet,2,3719.00,7066.10,5002.96,2063.14,Credit Card,Store,3.00,Summer Sale,New,0.05,TRUE,November,11
100139,08/11/2024,C1743,Pune,Grocery,Rice,3,1555.00,4665.00,2931.27,1733.73,Cash,Online,3.00,Summer Sale,New,0.00,TRUE,November,11
100140,27/04/2025,C1788,Hyderabad,Unavailable,Yoga Mat,3,4675.00,10518.75,7401.65,3117.10,UPI,Online,3.00,Summer Sale,New,0.25,TRUE,April,4
100141,21/08/2025,C1111,Bengaluru,Grocery,Oil,1,1860.00,1767.00,1489.81,277.19,Cash,Store,3.00,Summer Sale,Returning,0.05,TRUE,August,8
100142,04/01/2025,C1721,Bengaluru,Fashion,T-Shirt,2,470.00,799.00,444.39,354.61,Cash,Store,3.00,Summer Sale,New,0.15,TRUE,January,1
100143,15/03/2025,C1488,Mumbai,Unavailable,Chair,2,3752.00,5628.00,4826.83,801.17,Wallet,Online,3.00,Summer Sale,Returning,0.25,TRUE,March,3
100144,27/06/2024,C1040,Vizag,Home,Lamp,3,4003.00,12009.00,5943.42,6065.58,Debit Card,Store,3.00,Summer Sale,New,0.00,TRUE,June,6
100145,27/12/2024,C1685,Mumbai,Beauty,Shampoo,2,911.00,1639.80,1459.15,180.65,Credit Card,Online,3.00,Summer Sale,Returning,0.10,TRUE,December,12
100146,07/02/2025,C1702,Vizag,Electronics,Tablet,4,4629.00,18516.00,12518.92,5997.08,UPI,Store,3.00,Summer Sale,New,0.00,TRUE,February,2
100147,08/10/2025,C1148,Vizag,Beauty,Cream,1,3321.00,2656.80,1922.65,734.15,Debit Card,Store,3.00,Summer Sale,New,0.20,TRUE,October,10
100148,13/07/2024,C1580,Bengaluru,Home,Cookware,5,2614.00,10456.00,9981.13,474.87,Debit Card,Store,3.00,Summer Sale,New,0.20,TRUE,July,7
100149,27/08/2025,C1729,Bengaluru,Home,Cookware,3,3893.00,11679.00,6195.66,5483.34,UPI,Store,3.00,Summer Sale,New,0.00,TRUE,August,8
100150,28/10/2024,C1063,Chennai,Electronics,Laptop,5,4381.00,18619.25,18212.62,406.63,UPI,Online,3.00,Summer Sale,Returning,0.15,TRUE,October,10
100151,22/02/2024,C1672,Chennai,Beauty,Perfume,1,4076.00,3260.80,2144.33,1116.47,Wallet,Online,3.00,Summer Sale,New,0.20,TRUE,February,2
100152,30/11/2024,C1056,Delhi,Grocery,Rice,4,2005.00,6817.00,4898.83,1918.17,Wallet,Online,3.00,Summer Sale,New,0.15,TRUE,November,11
100153,20/08/2024,C1314,Bengaluru,Electronics,Laptop,2,1254.00,1881.00,1289.27,591.73,UPI,Store,3.00,Summer Sale,New,0.25,TRUE,August,8
100154,04/01/2025,C1721,Chennai,Grocery,Rice,4,1103.00,3529.60,2255.24,1274.36,UPI,Online,3.00,Summer Sale,Returning,0.20,TRUE,January,1
100155,23/11/2025,C1087,Hyderabad,Electronics,Tablet,1,3447.00,2929.95,2361.88,568.07,Cash,Online,3.00,Summer Sale,Returning,0.15,TRUE,November,11
100156,10/04/2025,C1110,Hyderabad,Beauty,Cream,4,4389.00,15800.40,9064.48,6735.92,Cash,Online,3.00,Summer Sale,New,0.10,TRUE,April,4
100157,28/05/2024,C1371,Mumbai,Sports,Yoga Mat,4,2218.00,7984.80,7503.45,481.35,Debit Card,Online,3.00,Summer Sale,New,0.10,TRUE,May,5
100158,08/09/2025,C1746,Vizag,Electronics,Phone,3,4347.00,13041.00,7933.30,5107.70,Debit Card,Store,3.00,Summer Sale,New,0.00,TRUE,September,9
100159,03/10/2025,C1234,Hyderabad,Sports,Bat,1,388.00,310.40,287.58,22.82,Credit Card,Store,3.00,Summer Sale,Returning,0.20,TRUE,October,10
100160,02/06/2025,C1510,Pune,Fashion,Shoes,2,2593.00,3889.50,3364.07,525.43,Credit Card,Store,3.00,Summer Sale,New,0.25,TRUE,June,6
100161,01/06/2025,C1113,Pune,Electronics,Headphones,2,2689.00,4033.50,3443.19,590.31,Debit Card,Store,3.00,Summer Sale,New,0.25,TRUE,June,6
